idHotel	name	description	price	idAsUUID
13	Pokój deluxe 2 os. widok na morze	Pokój deluxe 2 os. widok na morze	3299	1a66cc19-0699-4eee-93fc-d857b0e5c32f
13	Pokój premium deluxe 2 os. widok na morze	Pokój premium deluxe 2 os. widok na morze	3699	bfaf2901-cc91-41e8-ba8a-06aac0eca39a
13	Pokój premium jacuzzi 2 os.	dla osób powyżej 16. roku życia,  2-os.,  ok. 55 m²,  indywidualnie sterowana klimatyzacja,  łazienka (jacuzzi, wanna lub prysznic, wc, suszarka),  internet bezprzewodowy (limitowana prędkość),  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	5299	1ad7d072-ff5f-4489-adcc-ac0d2e2d6e78
13	Pokój premium deluxe 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci – łóżko pojedyncze),  ok. 48 m²,  łazienka (wanna lub prysznic, wc, suszarka),  internet bezprzewodowy (limitowana prędkość),  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	3049	f66766d6-4372-4c2a-8f23-4968bdd805e2
13	Pokój deluxe 2 os. + 1 dostawka, widok na morze	Pokój deluxe 2 os. + 1 dostawka, widok na morze	3199	c6b7723b-40b9-4fb7-a65b-6e05f99da856
13	Pokój premium deluxe 2 os. + 1 dostawka, widok na morze	Pokój premium deluxe 2 os. + 1 dostawka, widok na morze	3799	f2dc3aca-c893-438f-8fb1-1f386ae0902a
13	Pokój rodzinny 3 os.	2-os. (możliwość dostawki dla 2 dzieci – rozkładana sofa piętrowa),  ok. 50 m²,  łazienka (wanna lub prysznic, wc, suszarka),  wydzielona część z łóżkiem dla dzieci,  internet bezprzewodowy (limitowana prędkość),  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	3799	2d226b78-440f-4099-9f9b-3ac335162922
13	Pokój premium jacuzzi 2 os. + 1 dostawka	dla osób powyżej 16. roku życia,  2-os.,  ok. 55 m²,  indywidualnie sterowana klimatyzacja,  łazienka (jacuzzi, wanna lub prysznic, wc, suszarka),  internet bezprzewodowy (limitowana prędkość),  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	6199	8ce1c695-2334-435f-893e-c0a206fc94b8
15	Pokój 1 os.	2-os. (możliwość 1 dostawki),  ok. 31 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon, taras lub ogródek (stolik i krzesełka),  widok na ogród lub basen,  za opłatą: minibar	10459	7a85993d-8240-41aa-ba51-353bec9ff389
15	Pokój 2 os.	2-os. (możliwość 1 dostawki),  ok. 31 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  telefon,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon, taras lub ogródek (stolik i krzesełka),  widok na ogród lub basen,  za opłatą: minibar	7169	f2e0d63b-fbc0-47af-b1a6-f6e177d524f9
